Latitude,Longitude,City,Area,Address,Rooms,Floor/Total floors,Material,Total area,Live area,Kitchen,Toilet type,Price,Link,Seller,Comment
59.911448,30.308232,Санкт-Петербург,Адмиралтейский район,Измайловский пр. 16,1,4/7,СФ,28.8,19.3,3.0,Р,2750,http://www.bn.ru/detail/flats/1133049.html,АН Панорама,"доля, торг, ОС в коммун. кв"
59.939095,30.315868,Санкт-Петербург,Адмиралтейский район,Грибоедова кан. наб. 144,1,1/5,СФК,27.0,18.5,4.0,С,3455,http://www.bn.ru/detail/flats/668279.html,Аристократ,ХС. ДГ. Более 3-х лет.
59.92023,30.283214,Санкт-Петербург,Адмиралтейский район,Володи Ермака ул. 17,1,1/6,К,42.0,26.0,9.0,Р,3700,http://www.bn.ru/detail/flats/1141100.html,Рудаков-Н,высок эт
59.917231,30.284741,Санкт-Петербург,Адмиралтейский район,Садовая ул. 122,1,1/4,К,31.0,16.9,9.0,С,3800,http://www.bn.ru/detail/flats/1182387.html,Итака,"1-27218 ХС, ПП"
59.919545,30.280834,Санкт-Петербург,Адмиралтейский район,Псковская ул. 22,1,5/6,К,29.3,16.7,5.0,Р,4000,http://www.bn.ru/detail/flats/1141107.html,Итака,1-22690 ХСб3лБалкВанная
59.917231,30.284741,Санкт-Петербург,Адмиралтейский район,Садовая ул. 122,1,1/4,СФ,30.6,17.0,6.0,С,4000,http://www.bn.ru/detail/flats/1133060.html,АРИН,"ХС, ПП, зеленый двор"
59.925655,30.30587,Санкт-Петербург,Адмиралтейский район,Б. Подьяческая ул. 8,1,1/5,СФ,43.5,24.5,6.7,Р,4070,http://www.bn.ru/detail/flats/1157867.html,Эксперт,89650763135
59.915977,30.328992,Санкт-Петербург,Адмиралтейский район,Рузовская ул. 19,1,1/6,СФ,47.0,18.2,14.6,С,4200,http://www.bn.ru/detail/flats/1113885.html,Норд,9098453 отд. входХС. 3г. есть
59.915675,30.297884,Санкт-Петербург,Адмиралтейский район,Троицкий пр. 20,1,5/5,К,33.3,15.4,7.3,Р,4554,http://www.bn.ru/detail/flats/1183451.html,АВЕНТИН,"Закрытый двор. ВПП, ДГ"
59.906012,30.276522,Санкт-Петербург,Адмиралтейский район,Старо-­Петергофский пр. 28,1,4/5,РЕК,35.4,29.9,8.0,С,4708,http://www.bn.ru/detail/flats/1175887.html,Primatech,"воен. ип-ка, субсидии"
59.92745,30.307882,Санкт-Петербург,Адмиралтейский район,Вознесенский пр. 21,1,2/4,СФК,44.5,18.0,10.0,Р,4900,http://www.bn.ru/detail/flats/1175883.html,ДАРКО,(921) 304-0974
59.906012,30.276522,Санкт-Петербург,Адмиралтейский район,Старо-­Петергофский пр. 28,1,1/5,РЕК,44.7,31.5,10.0,С,5138,http://www.bn.ru/detail/flats/890046.html,Primatech,"воен. ип-ка, субсидии"
59.906693,30.266596,Санкт-Петербург,Адмиралтейский район,Бумажная ул. 20,1,1/5,СТ,52.5,16.7,22.2,С,5300,http://www.bn.ru/detail/flats/1160531.html,Аристократ,Продам светлую просторную
59.939095,30.315868,Санкт-Петербург,Адмиралтейский район,Грибоедова кан. наб. 156,1,1/6,К,41.0,0.0,0.0, ,5350,http://www.bn.ru/detail/flats/1183450.html,Невская Ипотека,"Отд. вход, рем, парковка"
59.934889,30.310155,Санкт-Петербург,Адмиралтейский район,М. Морская ул. 19,1,4/7,СФ,33.6,22.8,6.6,Д,5800,http://www.bn.ru/detail/flats/1122736.html,Центр,"(950) 046-1094, ХС"
59.903065,30.315042,Санкт-Петербург,Адмиралтейский район,Красуцкого ул. 3,1,7/9,М,44.5,17.5,11.0,С,5850,http://www.bn.ru/detail/flats/1160535.html,Экотон,"ПП, ДГ, ЮИТ, собств-ть"
